id,name,type,subtype,cost,ar,rarity,affinity,text,flavor_text,protocol_note,help_text
E1-001,Genesis Lotus,Hardware,,0,,rare,,Commit and archive Genesis Lotus: generate 3 Resources of one affinity.,"The manual had three pages, and Genesis Lotus used all of them as coasters.",The Bitcoin whitepaper describes peer-to-peer electronic cash without a trusted third party.,Moves a card into an Archive. Generates extra Resources for larger plays.
E1-002,Satoshi Orchard,Basic Resource,Bitcoin,,,common,Bitcoin,Commit: generate 1 Bitcoin.,Useful capacity grows wherever Satoshi Orchard gets a clean connection.,A UTXO is an unspent transaction output available to a later input.,Play this as your Resource for the turn. Commit it to generate Bitcoin.
E1-003,"FLX, Culture Curator",Avatar,Operator,3SS,4/4,uncommon,Signal,Broadcast\nFLX stays unlocked after attacking.,The status page calmed down as soon as Culture Curator picked up a wrench.,"NIP-01 events carry an id, pubkey, timestamp, kind, tags, content and signature.",Can usually be blocked only by another Broadcaster. Lets a committed card become usable again.
E1-004,Zap,Zap,,P,,common,Power,Zap deals 3 damage to any target.,"Latency rehearsed an excuse, but Zap had already resolved.",Bitcoin proof of work searches for a block-header hash below a target.,Deals or redirects damage.
E1-005,Next Block,Operation,,1T,,rare,Timelock,"After this turn, take one additional turn.",The plan left the whiteboard and returned wearing Next Block.,BIP-65 makes CHECKLOCKTIMEVERIFY enforce an absolute locktime.,Gives you another full turn after this one.
E1-006,Multisig Quorum,Protocol,,1K,,rare,Keys,Keys Avatars get +1 Action and +1 Resilience.,The fine print became infrastructure when Multisig Quorum entered the Network.,BIP-32 extended keys combine key material with a 32-byte chain code.,Deploy this Protocol to change how the Network behaves over time.
E1-007,Firmware for Firewalls,Protocol,Attachment,S,,rare,Signal,Attach to Firewall\nAttached Firewall can attack as though it didn't have Firewall.,Every rule has an edge case; Firmware for Firewalls packed it a lunch.,"NIP-01 events carry an id, pubkey, timestamp, kind, tags, content and signature.",Deploy this Protocol to change how the Network behaves over time.
E1-008,Grid Reset,Operation,,3S,,rare,Signal,Decommission all Resources.,Every checklist box stood a little straighter for Grid Reset.,NIP-01 hashes a canonical event serialization to produce its event id.,Removes a card from the Network.
E1-009,Fair State,Operation,,1S,,rare,Signal,"Each player chooses a number of Resources they control equal to the number of Resources controlled by the player who controls the fewest, then archives the rest. Players discard cards and archive Avatars the same way.",The long route became the useful route after Fair State.,NIP-01 hashes a canonical event serialization to produce its event id.,Reduces the options in an opponent's Wallet. Moves a card into an Archive.
E1-010,"Cuddy, Signal Organizer",Avatar,Operator,S,1/1,common,Signal,Mesh.,Nobody assigned the incident; it simply looked nervous around Signal Organizer.,NIP-01 signs an event id so clients can verify the publisher.,Deals or redirects damage. Can coordinate with other Mesh Avatars during clashes.
E1-011,Keys Shield,Protocol,Attachment,S,,uncommon,Signal,Attach to Avatar\nAttached Avatar has Shielded from Keys. This effect doesn't remove this Attachment.,The whiteboard stopped arguing after Keys Shield drew the final arrow.,NIP-01 signs an event id so clients can verify the publisher.,Resists the named affinity.
E1-012,Last Broadcast,Zap,,S,,rare,Signal,Play this card on the Queue only during clash before blockers are declared.\nTarget Avatar defending player controls can block any number of Avatars this turn. It blocks each attacking Avatar this turn if able.,The Queue blinked once and found Last Broadcast at the front.,A NIP-01 REQ message opens a filtered relay subscription.,Play this while other cards wait on the Queue to make a timely response.
E1-013,Shared Uptime,Protocol,Attachment,SS,,rare,Signal,Attach to Avatar\nS: attached Avatar gets +1 Action and +1 Resilience until end of turn.,A handshake became a habit wherever Shared Uptime was deployed.,A NIP-01 REQ message opens a filtered relay subscription.,Makes an Avatar stronger.
E1-014,Timelock Shield,Protocol,Attachment,S,,uncommon,Signal,Attach to Avatar\nAttached Avatar has Shielded from Timelock. This effect doesn't remove this Attachment.,No committee survived contact with the clarity of Timelock Shield.,A NIP-01 CLOSE message ends a relay subscription.,Resists the named affinity.
E1-015,Local Citadel,Protocol,,3S,,uncommon,Signal,Unlocked Avatars you control get +0 Action and +2 Resilience.,The Network called it policy; Local Citadel called it Tuesday.,A NIP-01 CLOSE message ends a relay subscription.,Lets a committed card become usable again.
E1-016,Timelock Protection Circuit,Protocol,,1S,,common,Signal,"1: The next time a Timelock source of your choice would deal damage to you this turn, prevent that damage.",One tidy invariant followed Timelock Protection Circuit into every messy room.,NIP-01 EOSE tells a client that stored events for a subscription were sent.,Deals or redirects damage.
E1-017,Bitcoin Protection Circuit,Protocol,,1S,,common,Signal,"1: The next time a Bitcoin source of your choice would deal damage to you this turn, prevent that damage.",The loophole closed itself after reading Bitcoin Protection Circuit.,NIP-01 EOSE tells a client that stored events for a subscription were sent.,Deals or redirects damage.
E1-018,Power Protection Circuit,Protocol,,1S,,common,Signal,"1: The next time a Power source of your choice would deal damage to you this turn, prevent that damage.",A thousand opinions became one testable rule inside Power Protection Circuit.,NIP-01 uses kind 0 for replaceable user metadata.,Deals or redirects damage.
E1-019,Signal Protection Circuit,Protocol,,1S,,common,Signal,"1: The next time a Signal source of your choice would deal damage to you this turn, prevent that damage.",The boring path became the reliable path under Signal Protection Circuit.,NIP-01 uses kind 0 for replaceable user metadata.,Deals or redirects damage.
E1-020,Hardened Resource,Protocol,Attachment,S,,uncommon,Signal,Attach to Resource\nAttached Resource has indestructible and can't be attached by other Attachments.,"Everyone brought assumptions, but Hardened Resource brought a specification.",NIP-01 uses kind 1 for short text notes.,Deploy this Protocol to change how the Network behaves over time.
E1-021,Grid Conversion,Protocol,,2SS,,uncommon,Signal,"At the beginning of your Maintenance, archive this Protocol unless you pay SS.\nAll Power Resources are Signal Resource.",The exception asked for permission before approaching Grid Conversion.,NIP-01 uses kind 1 for short text notes.,Moves a card into an Archive.
E1-022,Public Goods Drive,Protocol,,SS,,rare,Signal,Signal Avatars get +1 Action and +1 Resilience.,A sticky note achieved consensus and grew into Public Goods Drive.,NIP-02 stores a follow list in a signed kind 3 event.,Deploy this Protocol to change how the Network behaves over time.
E1-023,Emergency Reboot,Zap,,S,,common,Signal,Reboot target Avatar.,A tiny packet made a very large entrance as Emergency Reboot.,NIP-02 stores a follow list in a signed kind 3 event.,Can keep an Avatar in the Network after damage.
E1-024,Protocol Cleanup,Zap,,1S,,common,Signal,Decommission target Hardware or Protocol.,The response window was brief and exactly long enough for Protocol Cleanup.,NIP-05 resolves an internet identifier through .well-known/nostr.json.,Removes a card from the Network.
E1-025,Home Miner,Protocol,Attachment,SSS,,rare,Signal,"Attach to Resource\nAttached Resource has ""At the beginning of your Maintenance, you may pay SS. If you do, you gain 1 Uptime.""",Nothing says romance like deterministic behavior from Home Miner.,NIP-05 resolves an internet identifier through .well-known/nostr.json.,Deploy this Protocol to change how the Network behaves over time.
E1-026,Bitcoin Shield,Protocol,Attachment,S,,uncommon,Signal,Attach to Avatar\nAttached Avatar has Shielded from Bitcoin. This effect doesn't remove this Attachment.,The meeting ended early because Bitcoin Shield had executable minutes.,NIP-09 uses a signed kind 5 event to request deletion of earlier events.,Resists the named affinity.
E1-027,Guardian Signal,Zap,,XS,,common,Signal,"Prevent the next X damage that would be dealt to any target this turn. Until end of turn, you may pay 1 any time you could play an Zap. If you do, prevent the next 1 damage that would be dealt to that Network card or player this turn.",No one heard the starter pistol; they only saw Guardian Signal.,NIP-09 uses a signed kind 5 event to request deletion of earlier events.,Deals or redirects damage.
E1-028,Repair Packet,Zap,,S,,common,Signal,Choose one —\n• Target player gains 3 Uptime.\n• Prevent the next 3 damage that would be dealt to any target this turn.,"The bug requested more time, which Repair Packet politely denied.",NIP-10 uses event and pubkey tags to describe note threads.,Deals or redirects damage.
E1-029,Hardened Identity,Protocol,Attachment,S,,common,Signal,Attach to Avatar\nAttached Avatar gets +0 Action and +2 Resilience.\nS: attached Avatar gets +0 Action and +1 Resilience until end of turn.,The Network slept better once Hardened Identity checked the locks.,NIP-10 uses event and pubkey tags to describe note threads.,Makes an Avatar stronger.
E1-030,Community Strength,Protocol,Attachment,S,,common,Signal,Attach to Avatar\nAttached Avatar gets +1 Action and +2 Resilience.,The fine print became infrastructure when Community Strength entered the Network.,NIP-11 lets a relay publish an informational JSON document over HTTP.,Makes an Avatar stronger.
E1-031,Offline Sanctuary,Protocol,,1S,,rare,Signal,"If you would draw a card during your draw step, instead you may skip that draw. If you do, until your next turn, you can't be attacked except by Avatars with Broadcast and/or Backchannel—Timelock.",Every rule has an edge case; Offline Sanctuary packed it a lunch.,NIP-11 lets a relay publish an informational JSON document over HTTP.,Puts more cards in your Wallet. Can usually be blocked only by another Broadcaster.
E1-032,Consequence Ledger,Protocol,,2SS,,uncommon,Signal,"At the beginning of each player's Maintenance, this Protocol deals damage to that player equal to the number of Keys Resources they control.",The whiteboard stopped arguing after Consequence Ledger drew the final arrow.,NIP-13 places a nonce and target difficulty in an event tag for proof of work.,Deals or redirects damage.
E1-033,Fast Path,Protocol,Attachment,S,,uncommon,Signal,Attach to Avatar\nAttached Avatar has First Strike.,A handshake became a habit wherever Fast Path was deployed.,NIP-13 places a nonce and target difficulty in an event tag for proof of work.,Deploy this Protocol to change how the Network behaves over time.
E1-034,"Sat, Relay Rider",Avatar,Broadcaster,1S,1/1,common,Signal,Broadcast; Mesh.,A second opinion arrived wearing Relay Rider's tool belt.,NIP-19 gives Nostr keys and event references bech32 encodings.,Deals or redirects damage. Can usually be blocked only by another Broadcaster.
E1-035,"MHB, Keys Auditor",Avatar,Signer,2SS,3/3,rare,Signal,"SS, Commit: decommission target Keys Network card.","The runbook says stay calm, and Keys Auditor added label your cables.",NIP-19 gives Nostr keys and event references bech32 encodings.,Removes a card from the Network.
E1-036,"Morgs, Friendly Fork",Avatar,Operator,2S,2/2,common,Signal,No special ability.,Even the fallback plan has a fallback when Friendly Fork joins the call.,NIP-21 defines the nostr: URI scheme for NIP-19 identifiers.,Deploy this Avatar to defend your Uptime or pressure an opponent.
E1-037,"AJ, Uptime Anchor",Avatar,Operator,3SSS,6/6,rare,Signal,"0: The next 1 damage that would be dealt to this Avatar this turn is dealt to its owner instead. Only this Avatar's owner may activate this ability.\nWhen this Avatar is decommissioned, its owner loses half their Uptime, rounded up.",The Network asked for a hero; Uptime Anchor submitted a tested patch.,NIP-21 defines the nostr: URI scheme for NIP-19 identifiers.,Deals or redirects damage. Removes a card from the Network.
E1-038,Signal Rewrite,Zap,,S,,rare,Signal,Target card on the Queue or Network card becomes Signal. (Resource symbols on that Network card remain unchanged.),"One clean interrupt later, the logs credited Signal Rewrite.",NIP-25 represents reactions as signed kind 7 events.,Play this while other cards wait on the Queue to make a timely response.
E1-039,Power Shield,Protocol,Attachment,S,,uncommon,Signal,Attach to Avatar\nAttached Avatar has Shielded from Power. This effect doesn't remove this Attachment.,No committee survived contact with the clarity of Power Shield.,NIP-25 represents reactions as signed kind 7 events.,Resists the named affinity.
E1-040,Archive Restore,Operation,,2SS,,uncommon,Signal,Return target Avatar card from your Archive to the Network.,A coordinated morning begins with coffee and Archive Restore.,NIP-42 authenticates a client by signing a relay-provided challenge.,Moves a card into an Archive.
E1-041,Damage Refund,Zap,,1SS,,rare,Signal,"The next time a source of your choice would deal damage to you this turn, prevent that damage. You gain Uptime equal to the damage prevented this way.",The fast path keeps a reserved seat for Damage Refund.,NIP-42 authenticates a client by signing a relay-provided challenge.,Deals or redirects damage.
E1-042,Courage Under Load,Zap,,S,,rare,Signal,Target blocking Avatar gets +7 Action and +7 Resilience until end of turn.,The packet wore sensible shoes because it was carrying Courage Under Load.,NIP-44 defines a versioned encrypted-payload format.,Makes an Avatar stronger.
E1-043,"AJ, First Responder",Avatar,Operator,1S,1/1,common,Signal,Commit: Prevent the next 1 damage that would be dealt to any target this turn.,Every antenna found its horizon when First Responder climbed the roof.,NIP-44 defines a versioned encrypted-payload format.,Deals or redirects damage.
E1-044,"Cuddy, Fast Starter",Avatar,Operator,S,2/1,rare,Signal,No special ability.,"The coffee went cold, but the relay stayed warm for Fast Starter.",NIP-46 lets a client request signing from a remote Nostr signer.,Deploy this Avatar to defend your Uptime or pressure an opponent.
E1-045,Peaceful Exit,Zap,,S,,uncommon,Signal,Cold Storage target Avatar. Its controller gains Uptime equal to its Action.,A deadline became a punchline the moment Peaceful Exit landed.,NIP-46 lets a client request signing from a remote Nostr signer.,Play this while other cards wait on the Queue to make a timely response.
E1-046,"MHB, Community Shield",Avatar,Guardian,3SS,2/5,rare,Signal,"As long as this Avatar is unlocked, all damage that would be dealt to you by unblocked Avatars is dealt to this Avatar instead.",The Queue behaved all afternoon under Community Shield's suspiciously polite stare.,NIP-47 carries wallet requests and responses through Nostr events.,Deals or redirects damage. Lets a committed card become usable again.
E1-047,"Sat, Blade Firewall",Avatar,Firewall,3S,3/5,uncommon,Signal,Firewall (This Avatar can't attack.)\nBroadcast,Someone said impossible; Blade Firewall heard needs one more adapter.,NIP-47 carries wallet requests and responses through Nostr events.,Can usually be blocked only by another Broadcaster.
E1-048,"Morgs, Signal Knight",Avatar,Guardian,SS,2/2,uncommon,Signal,"First Strike (This Avatar deals clash damage before Avatars without First Strike.)\nShielded from Keys (It can't be targeted, attached, blocked or dealt damage by Keys sources.)","The outage brought drama, while Signal Knight brought a multimeter.",NIP-50 adds a search field to relay filters that choose to support it.,Deals or redirects damage. Resists the named affinity.
E1-049,Signal Shield,Protocol,Attachment,S,,uncommon,Signal,Attach to Avatar\nAttached Avatar has Shielded from Signal. This effect doesn't remove this Attachment.,The Network called it policy; Signal Shield called it Tuesday.,NIP-50 adds a search field to relay filters that choose to support it.,Resists the named affinity.
E1-050,Clean Slate,Operation,,2SS,,rare,Signal,Decommission all Avatars. They can't be Rebooted.,"The Network moved as one, mostly because Clean Slate brought labels.",NIP-57 defines signed zap receipts as kind 9735 events.,Removes a card from the Network. Generates extra Resources for larger plays.
E1-051,"Michael1011, Packet Shaper",Avatar,Operator,3TT,4/4,uncommon,Timelock,Broadcast,"Trust arrived late, so Packet Shaper verified without it.",BIP-65 makes CHECKLOCKTIMEVERIFY enforce an absolute locktime.,Can usually be blocked only by another Broadcaster.
E1-052,First Memory,Zap,,T,,rare,Timelock,Target player moves the top three cards of their Stack into their Wallet.,"The Network said now, and First Memory did not ask which timezone.",BIP-112 makes CHECKSEQUENCEVERIFY enforce relative locktime.,Play this while other cards wait on the Queue to make a timely response.
E1-053,Boot Hardware,Protocol,Attachment,3T,,uncommon,Timelock,"Attach to Hardware\nAs long as attached Hardware isn't an Avatar, it's an Hardware Avatar with Action and Resilience each equal to its total resource cost.",One tidy invariant followed Boot Hardware into every messy room.,BIP-112 makes CHECKSEQUENCEVERIFY enforce relative locktime.,Deploy this Protocol to change how the Network behaves over time.
E1-054,Power Invalidation,Zap,,T,,common,Timelock,Choose one —\n• marker target Power card on the Queue.\n• decommission target Power Network card.,Every millisecond filed paperwork after meeting Power Invalidation.,BIP-113 evaluates transaction locktime against median past time.,Removes a card from the Network.
E1-055,Query Burst,Operation,,XTT,,rare,Timelock,Target player moves the top X cards of their Stack into their Wallet.,Tomorrow arrived early carrying the paperwork for Query Burst.,BIP-113 evaluates transaction locktime against median past time.,Play this during your main phase for a one-time strategic effect.
E1-056,"Benarc, Mirror Client",Avatar,Client,3T,0/0,uncommon,Timelock,You may have this Avatar enter as a copy of any Avatar on the Network.,The dashboard blinked red until it met Mirror Client.,BIP-68 encodes relative locktime semantics in transaction sequence numbers.,Deploy this Avatar to defend your Uptime or pressure an opponent.
E1-057,Remote Control,Protocol,Attachment,2TT,,uncommon,Timelock,Attach to Avatar\nYou control attached Avatar.,The loophole closed itself after reading Remote Control.,BIP-68 encodes relative locktime semantics in transaction sequence numbers.,Deploy this Protocol to change how the Network behaves over time.
E1-058,Hardware Clone,Protocol,,1T,,rare,Timelock,"You may have this Protocol enter as a copy of any Hardware on the Network, except it's a Protocol in addition to its other types.",A thousand opinions became one testable rule inside Hardware Clone.,BOLT 2 defines the messages peers use to manage Lightning channels.,Deploy this Protocol to change how the Network behaves over time.
E1-059,Invalid Signature,Zap,,TT,,uncommon,Timelock,Invalidate target card on the Queue.,The shortest meeting on record had one agenda item: Invalid Signature.,BOLT 2 defines the messages peers use to manage Lightning channels.,Stops a card on the Queue before it resolves.
E1-060,Exit Fee,Protocol,Attachment,1T,,common,Timelock,"Attach to Avatar\nWhen attached Avatar is decommissioned, this Attachment deals damage equal to that Avatar's Resilience to the Avatar's controller.",The boring path became the reliable path under Exit Fee.,BOLT 3 defines commitment transactions that enforce a channel state.,Deals or redirects damage. Removes a card from the Network.
E1-061,Buffer Drain,Operation,,TT,,rare,Timelock,Target player activates a Resource ability of each Resource they control. Then that player loses all unspent Resource and you put the lost Resources into your Buffer.,A dozen small steps agreed to call themselves Buffer Drain.,BOLT 3 defines commitment transactions that enforce a channel state.,Play this during your main phase for a one-time strategic effect.
